epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.837,1.51403,3.09875,1.68561,0.60358,0.52383,0.55541,0.29298,1.62525,1.78183,1.73608,0.00333169,0.00333169,0.00333169
2,566.713,1.50901,2.28332,1.63652,0.60538,0.53929,0.5643,0.30559,1.64282,1.6713,1.74704,0.00650006,0.00650006,0.00650006
3,842.478,1.59145,2.14012,1.70797,0.47224,0.39122,0.39223,0.21046,1.87722,2.071,2.06388,0.00950344,0.00950344,0.00950344
4,1116.66,1.65322,2.08207,1.77337,0.55916,0.49504,0.50596,0.28153,1.71809,1.71871,1.90793,0.0092575,0.0092575,0.0092575
5,1388.98,1.57145,1.85154,1.71211,0.68592,0.49797,0.58784,0.33223,1.61208,1.56283,1.75873,0.00901,0.00901,0.00901
6,1663.84,1.51558,1.71023,1.66055,0.70775,0.57595,0.64016,0.37021,1.54384,1.39769,1.7056,0.0087625,0.0087625,0.0087625
7,1938.08,1.47265,1.60953,1.62376,0.75113,0.58665,0.67163,0.38588,1.56324,1.31592,1.70323,0.008515,0.008515,0.008515
8,2213.81,1.44786,1.53701,1.59836,0.76037,0.63348,0.70633,0.41104,1.47815,1.20282,1.63699,0.0082675,0.0082675,0.0082675
9,2490.64,1.41128,1.4566,1.5674,0.79497,0.65949,0.72867,0.43013,1.47493,1.15506,1.63139,0.00802,0.00802,0.00802
10,2766.4,1.37666,1.40124,1.54282,0.78014,0.6723,0.74393,0.44116,1.46818,1.10879,1.60163,0.0077725,0.0077725,0.0077725
11,3042.26,1.35767,1.34478,1.52468,0.81309,0.66674,0.75679,0.45024,1.43424,1.05687,1.57291,0.007525,0.007525,0.007525
12,3315.79,1.33769,1.3017,1.50436,0.79883,0.70054,0.76678,0.46129,1.41613,1.03038,1.55273,0.0072775,0.0072775,0.0072775
13,3590.5,1.31787,1.25398,1.48449,0.80161,0.68891,0.77142,0.47941,1.38776,0.99102,1.53794,0.00703,0.00703,0.00703
14,3868.39,1.30675,1.23756,1.47666,0.81367,0.70947,0.78115,0.48081,1.3778,0.96071,1.50625,0.0067825,0.0067825,0.0067825
15,4145.22,1.28993,1.20518,1.46181,0.82672,0.72321,0.80106,0.49505,1.35684,0.91789,1.49074,0.006535,0.006535,0.006535
16,4420.81,1.27987,1.17794,1.45319,0.82367,0.7319,0.80178,0.495,1.35054,0.94117,1.4946,0.0062875,0.0062875,0.0062875
17,4697.11,1.26111,1.14176,1.43814,0.82463,0.73397,0.80157,0.50463,1.33052,0.89512,1.47087,0.00604,0.00604,0.00604
18,4973.9,1.24722,1.11982,1.42512,0.84422,0.73284,0.80449,0.50834,1.34809,0.86606,1.48364,0.0057925,0.0057925,0.0057925
19,5251.72,1.23254,1.09695,1.41355,0.81911,0.73338,0.79957,0.50864,1.33453,0.88278,1.47334,0.005545,0.005545,0.005545
20,5526.18,1.21655,1.06419,1.40185,0.83136,0.75968,0.81517,0.52009,1.30846,0.84461,1.45011,0.0052975,0.0052975,0.0052975
21,5802.5,1.20275,1.04561,1.39239,0.86664,0.77001,0.82866,0.53189,1.29889,0.81287,1.4277,0.00505,0.00505,0.00505
22,6081.4,1.19067,1.01828,1.38142,0.88201,0.755,0.8266,0.53433,1.2879,0.80285,1.42859,0.0048025,0.0048025,0.0048025
23,6358.88,1.17848,1.00551,1.37068,0.86483,0.76874,0.82593,0.53216,1.2879,0.79878,1.4248,0.004555,0.004555,0.004555
24,6638.36,1.16193,0.98618,1.35654,0.87384,0.74871,0.82376,0.53442,1.2725,0.80328,1.40705,0.0043075,0.0043075,0.0043075
25,6916.64,1.15166,0.96497,1.35054,0.86493,0.7649,0.83072,0.53917,1.26907,0.78193,1.4178,0.00406,0.00406,0.00406
26,7195.52,1.14119,0.94354,1.34068,0.87968,0.76447,0.83386,0.54455,1.25992,0.76749,1.40009,0.0038125,0.0038125,0.0038125
27,7473.14,1.12279,0.92495,1.32692,0.88864,0.76821,0.84005,0.54971,1.25443,0.76035,1.39014,0.003565,0.003565,0.003565
28,7750.95,1.11563,0.91483,1.32066,0.85836,0.77513,0.83783,0.5526,1.23863,0.75564,1.37886,0.0033175,0.0033175,0.0033175
29,8028.69,1.09636,0.89326,1.30958,0.87554,0.77816,0.83831,0.55297,1.24944,0.73529,1.37539,0.00307,0.00307,0.00307
30,8306.16,1.08591,0.87355,1.30214,0.88033,0.77424,0.83993,0.55669,1.23589,0.73764,1.36567,0.0028225,0.0028225,0.0028225
31,8627.75,1.04262,0.65097,1.30169,0.8591,0.7773,0.83499,0.55411,1.24583,0.73396,1.37871,0.002575,0.002575,0.002575
